LI,Median,HI,state
0.711268577278509,1.3565519052725052,1.9853321218985012,AN
1.2032511735312001,1.3024230536409402,1.4027999361594239,AP
0.738709983752553,1.359951353497222,1.9963869315060743,AR
0.7113003256854111,1.3102855150958443,1.8635168257240182,AS
0.9340324442159716,1.411479446106667,1.8743737859558451,BR
0.7296374179703597,1.3493812082237007,1.944693735635988,CH
0.7552138490958428,1.3340139393288073,1.9099211301972292,CT
0.7248403947875117,1.3618597142710298,2.0153668872914623,DD
1.257613909526514,1.2929671130674598,1.3271078682412594,DL
0.7181157689514935,1.3600355448196657,1.9790000948081419,DN
0.7304624150997099,1.3743453375294048,1.9751790525106931,GA
2.097643054441632,2.1607043900978473,2.2226282742210284,GJ
0.7476691539788741,1.3231651864644554,1.9106538313170012,HP
0.9275588206995155,1.169189972037377,1.4025667835016014,HR
0.7917603830208245,1.372050962936799,1.9558721626685203,JH
1.0654467783488104,1.252599631034908,1.4250100339905278,JK
1.0756603242199776,1.2691095084153465,1.449081533173242,KA
0.8178241509069629,0.9614208723700689,1.1041841739684994,KL
0.7197317419602641,1.3496248020578254,1.9441813794164768,LA
0.7456958323613699,1.3671745399437012,1.9751787237864291,LD
1.6306467555313382,1.6498979096694055,1.669596078810407,MH
0.7543559409078955,1.3625527537149167,1.9690400088092421,ML
0.7438083169755104,1.3732822928676076,2.0133598561832655,MN
1.3387641695403947,1.394939568398692,1.4491877634658932,MP
0.7371515152196063,1.3716728216117993,1.9872621900427134,MZ
0.7257822307589854,1.3738234482965428,2.0061422345693884,NL
0.7621272997587066,1.280335926647151,1.7640895131650494,OR
0.9894017506319277,1.2544881306539053,1.5143254023867965,PB
0.7517461205435833,1.3650233807863912,1.9795499805122803,PY
1.4326565024453684,1.4833472558560947,1.534699002405956,RJ
0.7288069671656637,1.3705227519486562,2.0060029443593277,SK
1.151746914304726,1.2329680014069795,1.3128078069029416,TG
1.1417343158344353,1.18547875943139,1.2286054919222942,TN
0.7120363403108426,1.3636746817537722,1.9995992159155027,TR
1.5309386427895153,1.6033469031055747,1.680984772250973,UP
1.355787616527726,1.5813130632943828,1.8118926657286414,WB
1.1998930854368313,1.3687141133413467,1.5178152231133364,Population
